Frame Number, Date, Timestamp
1, 2022-02-17, 12:47:36.906517
2, 2022-02-17, 12:47:36.933530
3, 2022-02-17, 12:47:36.963524
4, 2022-02-17, 12:47:36.993520
5, 2022-02-17, 12:47:36.996522
6, 2022-02-17, 12:47:37.024520
7, 2022-02-17, 12:47:37.058520
8, 2022-02-17, 12:47:37.072520
9, 2022-02-17, 12:47:37.076520
10, 2022-02-17, 12:47:37.104520
11, 2022-02-17, 12:47:37.154529
12, 2022-02-17, 12:47:37.187519
13, 2022-02-17, 12:47:37.217546
14, 2022-02-17, 12:47:37.247530
15, 2022-02-17, 12:47:37.276522
16, 2022-02-17, 12:47:37.321520
17, 2022-02-17, 12:47:37.352519
18, 2022-02-17, 12:47:37.384520
19, 2022-02-17, 12:47:37.413519
20, 2022-02-17, 12:47:37.445525
21, 2022-02-17, 12:47:37.477520
22, 2022-02-17, 12:47:37.508520
23, 2022-02-17, 12:47:37.539521
24, 2022-02-17, 12:47:37.572521
25, 2022-02-17, 12:47:37.604525
26, 2022-02-17, 12:47:37.636536
27, 2022-02-17, 12:47:37.668523
28, 2022-02-17, 12:47:37.715520
29, 2022-02-17, 12:47:37.747520
30, 2022-02-17, 12:47:37.777522
31, 2022-02-17, 12:47:37.807520
32, 2022-02-17, 12:47:37.840522
33, 2022-02-17, 12:47:37.885523
34, 2022-02-17, 12:47:37.918520
35, 2022-02-17, 12:47:37.951520
36, 2022-02-17, 12:47:37.984539
37, 2022-02-17, 12:47:38.013531
38, 2022-02-17, 12:47:38.042519
39, 2022-02-17, 12:47:38.073521
40, 2022-02-17, 12:47:38.121521
41, 2022-02-17, 12:47:38.152520
42, 2022-02-17, 12:47:38.184522
43, 2022-02-17, 12:47:38.214522
44, 2022-02-17, 12:47:38.246520
45, 2022-02-17, 12:47:38.275519
46, 2022-02-17, 12:47:38.307523
47, 2022-02-17, 12:47:38.339520
48, 2022-02-17, 12:47:38.370528
49, 2022-02-17, 12:47:38.401520
50, 2022-02-17, 12:47:38.436523
51, 2022-02-17, 12:47:38.468520
52, 2022-02-17, 12:47:38.514529
53, 2022-02-17, 12:47:38.588523
54, 2022-02-17, 12:47:38.591523
55, 2022-02-17, 12:47:38.614680
56, 2022-02-17, 12:47:38.646681
57, 2022-02-17, 12:47:38.676681
58, 2022-02-17, 12:47:38.708684
59, 2022-02-17, 12:47:38.740682
60, 2022-02-17, 12:47:38.772682
61, 2022-02-17, 12:47:38.805681
62, 2022-02-17, 12:47:38.837684
63, 2022-02-17, 12:47:38.869683
64, 2022-02-17, 12:47:38.902685
65, 2022-02-17, 12:47:38.951685
66, 2022-02-17, 12:47:38.983681
67, 2022-02-17, 12:47:39.017687
68, 2022-02-17, 12:47:39.056682
69, 2022-02-17, 12:47:39.072684
70, 2022-02-17, 12:47:39.119680
71, 2022-02-17, 12:47:39.152683
