Frame Number, Date, Timestamp
72, 2022-02-17, 12:47:39.180682
73, 2022-02-17, 12:47:39.213682
74, 2022-02-17, 12:47:39.243685
75, 2022-02-17, 12:47:39.273683
76, 2022-02-17, 12:47:39.302679
77, 2022-02-17, 12:47:39.350695
78, 2022-02-17, 12:47:39.382684
79, 2022-02-17, 12:47:39.412683
80, 2022-02-17, 12:47:39.445685
81, 2022-02-17, 12:47:39.474687
82, 2022-02-17, 12:47:39.506680
83, 2022-02-17, 12:47:39.543682
84, 2022-02-17, 12:47:39.569681
85, 2022-02-17, 12:47:39.623684
86, 2022-02-17, 12:47:39.637682
87, 2022-02-17, 12:47:39.683701
88, 2022-02-17, 12:47:39.717684
89, 2022-02-17, 12:47:39.767681
90, 2022-02-17, 12:47:39.788680
91, 2022-02-17, 12:47:39.822689
92, 2022-02-17, 12:47:39.852680
93, 2022-02-17, 12:47:39.885681
94, 2022-02-17, 12:47:39.917697
95, 2022-02-17, 12:47:39.951681
96, 2022-02-17, 12:47:39.981692
97, 2022-02-17, 12:47:40.011692
98, 2022-02-17, 12:47:40.043683
99, 2022-02-17, 12:47:40.072680
100, 2022-02-17, 12:47:40.103679
101, 2022-02-17, 12:47:40.149681
102, 2022-02-17, 12:47:40.179681
103, 2022-02-17, 12:47:40.210705
104, 2022-02-17, 12:47:40.241680
105, 2022-02-17, 12:47:40.272680
106, 2022-02-17, 12:47:40.316690
107, 2022-02-17, 12:47:40.348681
108, 2022-02-17, 12:47:40.380694
109, 2022-02-17, 12:47:40.412680
110, 2022-02-17, 12:47:40.444684
111, 2022-02-17, 12:47:40.476681
112, 2022-02-17, 12:47:40.509681
113, 2022-02-17, 12:47:40.554680
114, 2022-02-17, 12:47:40.586680
115, 2022-02-17, 12:47:40.618679
116, 2022-02-17, 12:47:40.650681
117, 2022-02-17, 12:47:40.682694
118, 2022-02-17, 12:47:40.714682
119, 2022-02-17, 12:47:40.745680
120, 2022-02-17, 12:47:40.775682
121, 2022-02-17, 12:47:40.806681
122, 2022-02-17, 12:47:40.838680
123, 2022-02-17, 12:47:40.870681
124, 2022-02-17, 12:47:40.902681
125, 2022-02-17, 12:47:40.934680
126, 2022-02-17, 12:47:40.982692
127, 2022-02-17, 12:47:41.013680
128, 2022-02-17, 12:47:41.044680
129, 2022-02-17, 12:47:41.076684
130, 2022-02-17, 12:47:41.107680
131, 2022-02-17, 12:47:41.138680
132, 2022-02-17, 12:47:41.170681
133, 2022-02-17, 12:47:41.200680
134, 2022-02-17, 12:47:41.232679
135, 2022-02-17, 12:47:41.264679
136, 2022-02-17, 12:47:41.295681
137, 2022-02-17, 12:47:41.341679
138, 2022-02-17, 12:47:41.388680
139, 2022-02-17, 12:47:41.419682
140, 2022-02-17, 12:47:41.450684
141, 2022-02-17, 12:47:41.482681
142, 2022-02-17, 12:47:41.514684
143, 2022-02-17, 12:47:41.544682
144, 2022-02-17, 12:47:41.576687
145, 2022-02-17, 12:47:41.606680
146, 2022-02-17, 12:47:41.637680
147, 2022-02-17, 12:47:41.668687
148, 2022-02-17, 12:47:41.699683
149, 2022-02-17, 12:47:41.741699
150, 2022-02-17, 12:47:41.788682
151, 2022-02-17, 12:47:41.820684
152, 2022-02-17, 12:47:41.851686
153, 2022-02-17, 12:47:41.882684
154, 2022-02-17, 12:47:41.914689
155, 2022-02-17, 12:47:41.946682
156, 2022-02-17, 12:47:41.978684
157, 2022-02-17, 12:47:42.015713
158, 2022-02-17, 12:47:42.031712
159, 2022-02-17, 12:47:42.077712
160, 2022-02-17, 12:47:42.109738
161, 2022-02-17, 12:47:42.139707
162, 2022-02-17, 12:47:42.186724
163, 2022-02-17, 12:47:42.218318
164, 2022-02-17, 12:47:42.250319
165, 2022-02-17, 12:47:42.282315
166, 2022-02-17, 12:47:42.313317
167, 2022-02-17, 12:47:42.344315
168, 2022-02-17, 12:47:42.376315
169, 2022-02-17, 12:47:42.408376
170, 2022-02-17, 12:47:42.439634
171, 2022-02-17, 12:47:42.470634
172, 2022-02-17, 12:47:42.502634
173, 2022-02-17, 12:47:42.534638
174, 2022-02-17, 12:47:42.582634
175, 2022-02-17, 12:47:42.614633
176, 2022-02-17, 12:47:42.646634
177, 2022-02-17, 12:47:42.678639
178, 2022-02-17, 12:47:42.708635
179, 2022-02-17, 12:47:42.741636
180, 2022-02-17, 12:47:42.771636
181, 2022-02-17, 12:47:42.802634
182, 2022-02-17, 12:47:42.834635
183, 2022-02-17, 12:47:42.865633
184, 2022-02-17, 12:47:42.896638
185, 2022-02-17, 12:47:42.929654
186, 2022-02-17, 12:47:42.960634
